Group Name,City/Region,State,Hate Type
American Christian Dixie Knights of the Ku Klux Klan,,AL,Ku Klux Klan
American Confederate Knights of the Ku Klux Klan,,TN,Ku Klux Klan
Church of the American Christian Knights,Moselle,MS,Ku Klux Klan
Church of the National Knights of the Ku Klux Klan,,KY,Ku Klux Klan
Church of the National Knights of the Ku Klux Klan ,Panama,NY,Ku Klux Klan
Confederate White Knights of the Ku Klux Klan,Rosedale,MD,Ku Klux Klan
Confederate White Knights of the Ku Klux Klan,Auburn,IN,Ku Klux Klan
Confederate White Knights of the Ku Klux Klan ,Sikeston,MO,Ku Klux Klan
Confederate White Knights of the Ku Klux Klan ,Vale,NC,Ku Klux Klan
Confederate White Knights of the Ku Klux Klan ,,VA,Ku Klux Klan
East Coast Knights of the True Invisible Empire,Rising Sun,MD,Ku Klux Klan
East Coast Knights of the True Invisible Empire,Eastern Pennsylvania,PA,Ku Klux Klan
East Coast Knights of the True Invisible Empire ,,NC,Ku Klux Klan
Exalted Knights of the Ku Klux Klan,,AL,Ku Klux Klan
Exalted Knights of the Ku Klux Klan,,TN,Ku Klux Klan
Global Crusaders: Order of the Ku Klux Klan,Jacksonville,FL,Ku Klux Klan
Global Crusaders: Order of the Ku Klux Klan,,AL,Ku Klux Klan
International Keystone Knights of the Ku Klux Klan,,MS,Ku Klux Klan
International Keystone Knights of the Ku Klux Klan ,Vanndale,AR,Ku Klux Klan
International Keystone Knights of the Ku Klux Klan ,Cedartown,GA,Ku Klux Klan
Knights of the Ku Klux Klan,Harrison,AR,Ku Klux Klan
Knights of the White Disciples,Hudson,FL,Ku Klux Klan
Ku Klos Knights of the Ku Klux Klan,Nashville,IL,Ku Klux Klan
Ku Klos Knights of the Ku Klux Klan,,IN,Ku Klux Klan
Ku Klos Knights of the Ku Klux Klan,Bristol,TN,Ku Klux Klan
Ku Klos Knights of the Ku Klux Klan ,,OH,Ku Klux Klan
Ku Klos Knights of the Ku Klux Klan ,Knoxville,TN,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Pelham,NC,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Anaheim,CA,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Grand Junction,CO,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,,CO,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Jacksonville,FL,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,,GA,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,,MD,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,,MS,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Hampton Bays,NY,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Red Springs,NC,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Hamilton,OH,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Sandusky,OH,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Waynesboro,PA,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,,SC,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,,TN,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Houston,TX,Ku Klux Klan
Loyal White Knights of the Ku Klux Klan,Richmond,VA,Ku Klux Klan
Mississippi White Knights of the Ku Klux Klan,Bruce,MS,Ku Klux Klan
Nordic Order Knights of the Ku Klux Klan ,Dawson Springs,KY,Ku Klux Klan
Original Knight Riders Knights of the Ku Klux Klan,Beckley,WV,Ku Klux Klan
"Original Knights of America, Knights of the Ku Klux Klan",Philadelphia,MS,Ku Klux Klan
Pacific Coast Knights of the Ku Klu Klan,Alpena,MI,Ku Klux Klan
Pacific Coast Knights of the Ku Klux Klan,,OR,Ku Klux Klan
Pacific Coast Knights of the Ku Klux Klan ,,CA,Ku Klux Klan
Pacific Coast Knights of the Ku Klux Klan ,Spokane,WA,Ku Klux Klan
Patriotic Brigade Knights of the Ku Klux Klan ,Gladewater,TX,Ku Klux Klan
Rebel Brigade Knights True Invisible Empire,Martinsville,VA,Ku Klux Klan
Sacred Knights of the Ku Klux Klan,,GA,Ku Klux Klan
Southern Ohio Knights of the Ku Klux Klan,,OH,Ku Klux Klan
Texas Rebel Knights of the Ku Klux Klan ,Quinlan,TX,Ku Klux Klan
Traditionalist American Knights of the Ku Klux Klan,Custer,SD,Ku Klux Klan
Traditionalist American Knights of the Ku Klux Klan,,FL,Ku Klux Klan
Traditionalist American Knights of the Ku Klux Klan,,ME,Ku Klux Klan
Traditionalist American Knights of the Ku Klux Klan ,,ID,Ku Klux Klan
Traditionalist American Knights of the Ku Klux Klan ,,PA,Ku Klux Klan
United Dixie White Knights of the Ku Klux Klan,Leakesville,MS,Ku Klux Klan
United Dixie White Knights of the Ku Klux Klan,,AL,Ku Klux Klan
United Klans of America,Ashland,AL,Ku Klux Klan
United Klans of America ,,PA,Ku Klux Klan
United Klans of America ,McMinnville,TN,Ku Klux Klan
United Northern and Southern Knights of the Ku Klux Klan,Ellijay,GA,Ku Klux Klan
United Northern and Southern Knights of the Ku Klux Klan,Connersville,IN,Ku Klux Klan
United White Knights of the Ku Klux Klan,New Boston,TX,Ku Klux Klan
White Knights of the Ku Klux Klan of America,Vancouver,WA,Ku Klux Klan
White Knights of the Ku Klux Klan of America,Tupelo,MS,Ku Klux Klan
America First Committee,Lyons,IL,Neo-Nazi
American Nazi Party,Westland ,MI,Neo-Nazi
American Nazi Party,,CA,Neo-Nazi
Aryan Nations Sadistic Souls MC,Wood River,IL,Neo-Nazi
Aryan Nations Sadistic Souls MC,Canton,IL,Neo-Nazi
Aryan Nations Sadistic Souls MC,Grovespring,MO,Neo-Nazi
